67.194.245.27 - - [04/Oct/2012:00:01:39 -0400] "GET /dashboard HTTP/1.1" 302 3789 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/awesome_aggregator.png HTTP/1.1" 200 5796 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/great_critic.png HTTP/1.1" 200 5444 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/presentation_of_self.png HTTP/1.1" 200 5498 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/teachers_pet.png HTTP/1.1" 200 3194 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/concentrator.png HTTP/1.1" 200 3594 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/courageous_failure.png HTTP/1.1" 200 8410 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/early_bird_special.png HTTP/1.1" 200 4602 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/examination_expert.png HTTP/1.1" 200 4042 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/gaining_experience.png HTTP/1.1" 200 8458 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /users/predictor.json?in_progress=true&user_id=310 HTTP/1.1" 200 1610 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/gamer.png HTTP/1.1" 200 4378 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/learning_from_mistakes.png HTTP/1.1" 200 8362 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /users/predictor.json?user_id=310 HTTP/1.1" 200 1610 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/level_one.png HTTP/1.1" 200 4458 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/personal.png HTTP/1.1" 200 4474 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/participatory_democrat.png HTTP/1.1" 200 5354 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/practice_makes_perfect.png HTTP/1.1" 200 6010 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/public_speaker.png HTTP/1.1" 200 5482 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/scribe.png HTTP/1.1" 200 3002 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:58 -0400] "GET /badges/pos101/times_immemorial.png HTTP/1.1" 200 5722 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:58 -0400] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 200 5994 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:58 -0400] "GET /favicon.ico HTTP/1.1" 200 4788 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
67.194.117.113 - - [04/Oct/2012:00:46:26 -0400] "GET / HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.12.46 - - [04/Oct/2012:00:52:06 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1"
67.194.26.250 - - [04/Oct/2012:00:52:10 -0400] "GET /dashboard HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - - [04/Oct/2012:00:52:17 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=yOlOB1JRgSSYyzy++1ae+nDlvBzt-IKvb5SeOtKjsczQFONHLYXNyWRoBTnRnvaSl3nDmf3gaf0SXcW2Ej-eP4eUpJ2c3jS969jyBC8ynh0tZtMnho5paBbB-PxF&https://www.gradecraft.com/dashboard HTTP/1.1" 301 900 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - japete [04/Oct/2012:00:52:17 -0400] "GET /dashboard HTTP/1.1" 200 5092 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - japete [04/Oct/2012:00:52:17 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - japete [04/Oct/2012:00:52:17 -0400] "GET /assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css HTTP/1.1" 200 47118 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - japete [04/Oct/2012:00:52:17 -0400] "GET /assets/application-1c8a7386185fa79b964fbb3a368c2523.js HTTP/1.1" 200 204185 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - japete [04/Oct/2012:00:52:18 -0400] "GET /users/predictor.json?in_progress=true&user_id=157 HTTP/1.1" 304 885 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.26.250 - japete [04/Oct/2012:00:52:18 -0400] "GET /users/predictor.json?user_id=157 HTTP/1.1" 304 885 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
75.147.241.154 - - [04/Oct/2012:01:00:10 -0400] "GET /dashboard HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.40.130 - - [04/Oct/2012:01:02:54 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.36.2 - - [04/Oct/2012:01:03:57 -0400] "GET /dashboard HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
70.88.105.94 - - [04/Oct/2012:01:04:40 -0400] "GET / HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.74.148 - - [04/Oct/2012:01:17:08 -0400] "GET / HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
67.194.39.90 - - [04/Oct/2012:01:23:58 -0400] "GET / HTTP/1.1" 302 3984 "https://sites.google.com/a/umich.edu/polsci101f2012/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - - [04/Oct/2012:01:23:58 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=aKHm6ziiXgdSc+jpHh7xrJEZWCdfS-R+9SQ5RhDr3hssCDFWpeeFUj10l4euKzyUcdH3RhtHoArEKRTEnV6UN628CLCIfGeVnjh0BSkI2qzFHS1cXdI6b3u8LWt-&https://www.gradecraft.com/ HTTP/1.1" 301 868 "https://sites.google.com/a/umich.edu/polsci101f2012/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:23:58 -0400] "GET / HTTP/1.1" 302 1348 "https://sites.google.com/a/umich.edu/polsci101f2012/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:23:58 -0400] "GET /dashboard HTTP/1.1" 200 5092 "https://sites.google.com/a/umich.edu/polsci101f2012/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:23:59 -0400] "GET /assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css HTTP/1.1" 304 245 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:23:59 -0400] "GET /assets/application-1c8a7386185fa79b964fbb3a368c2523.js HTTP/1.1" 304 3473 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:23:59 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:24:00 -0400] "GET /users/predictor.json?in_progress=true&user_id=337 HTTP/1.1" 200 1610 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:24:00 -0400] "GET /users/predictor.json?user_id=337 HTTP/1.1" 200 1610 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.39.90 - bethomp [04/Oct/2012:01:24:01 -0400] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 304 229 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - - [04/Oct/2012:01:37:24 -0400] "GET / HTTP/1.1" 302 3789 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - - [04/Oct/2012:01:37:24 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=duWM1GiigNLYyR95+KjzWVtYk3xPPyQLwqdgtCYEbZUjLX1F74uZMhHmXv7YryYqCKL7eYU6H75UYRCvM38D5vRVUAuUchDjzsg3fM5TsJ0CHGe+EgGu3lQAiONf&https://www.gradecraft.com/ HTTP/1.1" 301 868 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:24 -0400] "GET / HTTP/1.1" 200 5092 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:25 -0400] "GET /assets/application-1c8a7386185fa79b964fbb3a368c2523.js HTTP/1.1" 304 3278 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:25 -0400] "GET /assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css HTTP/1.1" 304 3278 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:25 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:25 -0400] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 304 229 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:25 -0400] "GET /favicon.ico HTTP/1.1" 200 4650 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.10.106 - abigailt [04/Oct/2012:01:37:25 -0400] "GET /users/predictor.json?in_progress=true&user_id=137 HTTP/1.1" 200 1610 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
